11969,1391401
41590,53387
319,893
319,1422074
26408,21113
26408,115891
15139,4945
15139,74299
15139,1164376
161158,1212571
218473,70241
85247,85547
11446,66605
51980,20718
24405,2778
11655,10828
11800,69696
8223,309
14587,6220
31504,3030
41653,91565
53185,33315
95743,1006705
23637,26265
17600,17883
10897,58448
349394,1354907
21352,1174031
68806,105114
37345,67756
32562,109402
32562,109403
47507,2406
25403,69488
124304,1066960
9066,31024
771,10965
771,11222
771,1416072
251,3415
251,1453319
812,15810
812,15811
812,15780
812,226011
812,1447598
812,1451272
812,1461397
812,1615284
812,1719689
812,1719690
280,2710
280,2710
581,1269
581,1416072
80350,589306
268,510
274,16294
274,16296
408,5446
408,1035385
408,11431
408,1115031
408,1062383
408,573546
408,564041
408,222468
10020,62047
10020,62048
10020,1447483
10020,1447347
10020,15780
10020,952327
10020,226011
10020,1615258
10020,1615284
10020,1463204
10020,957663
10020,1461379
10895,11429
10895,11426
114,1201
41043,125340
576,7767
576,1391094
576,55224
15477,78258
59146,134026
124472,1080040
30528,54967
7300,52405
10824,15557
261246,116607
275,1223
25059,4755
11827,70616
8766,176246
8766,55116
23570,32278
23570,1209612
47333,24657
54850,75474
51242,49552
10112,57314
4307,309
46029,37526
32308,116103
88893,6818
52873,96627
340210,54767
44281,1044284
28121,78029
12520,72619
12520,1550041
12520,1550042
1592,17812
166901,173004
36447,69719
19042,71852
19042,952327
38884,15488
38884,1338291
47449,974388
36259,70835
41852,73496
40926,230320
9099,21217
2021,20773
2021,1412126
61752,5281
10988,34682
11479,69537
398959,43440
287305,68998
12652,20789
10684,9181
954,1150
954,3310
954,1475003
954,1394104
68445,6759
18989,2182
10801,1869
54285,105617
8840,18878
8840,570136
278978,14614
124625,26595
11107,54590
16417,80526
70934,559920
10363,9740
10363,940777
10363,70161
161070,4173
10539,57646
10543,15890
10543,1384398
18414,64030
18414,1426003
47502,47773
11902,15254
27098,96934
27098,557760
25087,115983
5801,12160
5801,1559025
5801,1559027
5801,1559028
896,12160
896,1305288
896,1559069
896,1559100
896,1559101
3065,30021
2300,23677
2300,1814205
2300,1242138
8069,53767
288173,98940
187851,98094
27768,37852
221917,12804
8072,3776
35797,20556
88030,54767
185191,19069
83857,3097
33245,8876
124460,1080036
27281,18254
105045,39298
