id,company_name,parent_company
1023,nelvana limited,nelvana limited
6116,argos films,argos films
13139,oshima productions,oshima productions
14668,shibata organisation,shibata organisation
3102,renaissance films,renaissance films
8827,american playhouse theatrical films,american playhouse theatrical films
1177,rastar films,rastar films
16827,night life inc.,night life inc.
10230,blue wolf,blue wolf
10100,thin man films,thin man films
1280,pacific western,pacific western
1755,allied filmmakers,allied filmmakers
4972,platinum pictures,platinum pictures
11912,mikado film,mikado film
27593,lenfilm studio,lenfilm studio
36765,adventure pictures,adventure pictures
1274,clinica estetico,clinica estetico
418,new south wales film & television office,new south wales film & television office
5186,the australian film commission,the australian film commission
14089,jan chapman productions,jan chapman productions
8780,walrus & associates,walrus & associates
5612,brooksfilms,brooksfilms
36907,hilary henkin,hilary henkin
39712,seon film productions,seon film productions
50619,romper stomper pty. ltd.,romper stomper pty. ltd.
75712,ruby in paradise,ruby in paradise
75713,full crew/say yea,full crew/say yea
14374,david v. picker productions,david v. picker productions
36789,nessa hyams,nessa hyams
36790,carrie productions inc.,carrie productions inc.
249,société nouvelle de cinématographie,société nouvelle de cinématographie
28822,santo domingo film & music video,santo domingo film & music video
37265,fron film production,fron film production
17411,polar entertainment,polar entertainment
5553,shadowlands productions,shadowlands productions
408,avenue entertainment,avenue entertainment
25158,sarah radclyffe productions - sirens limited,sarah radclyffe productions - sirens limited
25159,british screen finance ltd,british screen finance ltd
25160,samson productions ii,samson productions ii
36889,maiden movies,maiden movies
94856,robert evans company,robert evans company
5798,shaw brothers,shaw brothers
5848,columbia pictures industries,columbia pictures industries
6386,columbia films s.a.,columbia films s.a.
5888,walt disney,The Walt Disney Company
12288,nintendo,nintendo
164,rhombus media,rhombus media
8601,tim burton productions,tim burton productions
8835,skellington productions inc.,skellington productions inc.
342,davis-films,davis-films
3322,august entertainment,august entertainment
6189,turner pictures (i),turner pictures (i)
37572,keystone film company (ii),keystone film company (ii)
1524,dd productions,dd productions
6566,cncaimc,cncaimc
2658,some film,some film
11736,el deseo s.a.,el deseo s.a.
5778,channel 4 television,channel 4 television
157,svt drama,svt drama
235,nordisk film,nordisk film
6181,svensk filmindustri (sf),svensk filmindustri (sf)
7446,svenska filminstitutet (sfi),svenska filminstitutet (sfi)
55150,swelter films,swelter films
55151,buckeye films,buckeye films
23506,king world entertainment,king world entertainment
3614,columbia pictures television,columbia pictures television
58855,telling pictures,telling pictures
9364,sacher film,sacher film
20769,banfilm,banfilm
37352,oscar kramer s.a.,oscar kramer s.a.
37353,aura film,aura film
37354,mojame s.a.,mojame s.a.
477,hughes entertainment,hughes entertainment
61409,t2 productions,t2 productions
16636,shapiro-glickenhaus entertainment,shapiro-glickenhaus entertainment
4357,the guber-peters company,the guber-peters company
55072,strong heart/demme production,strong heart/demme production
3166,walt disney productions,The Walt Disney Company
6125,walt disney animation studios,The Walt Disney Company
10282,silver screen partners iv,silver screen partners iv
6,rko radio pictures,rko radio pictures
7399,sodaperaga productions,sodaperaga productions
38963,fontaine sarl,fontaine sarl
4051,warner brothers/seven arts,warner brothers/seven arts
5551,long shong pictures,long shong pictures
46108,ubu productions,ubu productions
711,fox 2000 pictures,Fox Corporation
81131,rosa productions,rosa productions
4952,canadian film development corporation (cfdc),canadian film development corporation (cfdc)
15343,trans atlantic entertainment,trans atlantic entertainment
65446,the chess club,the chess club
49,el deseo,el deseo
6861,lolafilms,lolafilms
20295,sociedad general de televisión (sogetel),sociedad general de televisión (sogetel)
21108,fernando trueba producciones cinematográficas,fernando trueba producciones cinematográficas
356,tf1 films productions,tf1 films productions
75423,france média,france média
75424,les films du scarabée,les films du scarabée
6032,the vault,the vault
38091,wf/x,wf/x
45,road movies filmproduktion gmbh,road movies filmproduktion gmbh
225,bim distribuzione,bim distribuzione
315,filmstiftung nordrhein-westfalen,filmstiftung nordrhein-westfalen
744,diaphana films,diaphana films
982,road movies dritte produktionen,road movies dritte produktionen
986,degeto film,degeto film
14245,messidor films,messidor films
38180,dark matter productions,dark matter productions
247,granada film productions,granada film productions
271,mainstream s.a.,mainstream s.a.
20777,british screen productions,british screen productions
976,marvin worth productions,marvin worth productions
3668,abc productions,The Walt Disney Company
14191,ice films,ice films
101,roxy film,roxy film
80481,made in munich filmproduktion,made in munich filmproduktion
191,senator film produktion,senator film produktion
44,cruise/wagner productions,cruise/wagner productions
7325,icicle,icicle
7326,film fonds,film fonds
7327,pandora filmproduktion (,pandora filmproduktion (
47,constantin film,constantin film
6636,park chul-soo films ltd.,park chul-soo films ltd.
1066,distant horizons,distant horizons
38208,koukus troika,koukus troika
38209,toron screen corporation,toron screen corporation
641,titanus,titanus
7046,paris film,paris film
38178,newcomm,newcomm
126,lakeshore entertainment,lakeshore entertainment
653,komuna,komuna
6242,barrandov studios,barrandov studios
17666,per holst filmproduktion,per holst filmproduktion
10354,fm entertainment international n.v.,fm entertainment international n.v.
1984,government of west bengal,government of west bengal
26424,satyajit ray productions,satyajit ray productions
1310,best brains,best brains
3592,warner bros. family entertainment,Warner Bros. Entertainment Inc.
55527,courtside seats productions,courtside seats productions
1216,dino de laurentiis cinematografica,dino de laurentiis cinematografica
1497,marianne productions,marianne productions
4106,libra pictures,libra pictures
16832,129 productions,129 productions
46654,filmstudio,filmstudio
54659,athos films,athos films
63558,chaumiane,chaumiane
875,films a2,films a2
900,les films de la tour,les films de la tour
16772,little bear,little bear
