director_id,name,gender
1265055,Pedro Morelli,x
992802,J. Elder Wills,x
36423,Tom Green,m
1719943,Park Jung-woo,x
1170143,Remo D'Souza,x
229604,Clio Barnard,x
56411,Glenn Ficarra,m
7314,Nick Park,m
1434767,Benjamin Rosenberg,x
230426,Leanne Pooley,f
54040,John Lee Hancock,m
292250,S. J. Surya,m
1150390,Teddy Soeriaatmadja,x
1338894,Dolores Rubin,x
56370,Ruben Östlund,m
135616,Iris Letans,x
55557,Michael DeLuise,m
12708,Peter Billingsley,m
121674,Łukasz Palkowski,m
59839,Harvey Weinstein,m
1039414,Richard C. Parish,x
1308037,George Curtner,x
1208357,Antony Thomas,x
1833827,Steynie LeGrange,x
236928,Gregory J. Read,m
1767062,Dawn Castiglia,x
1034489,Pauli Pentti,x
99916,Herschell Gordon Lewis,m
32767,John Byrum,m
557009,Aron Schock,x
139818,Nicolas Vanier,x
933007,Gary King,x
584839,Fazil,x
107276,Sergio Garrone,x
1117026,Ritesh Batra,m
1465634,Sarah Hayward,x
41270,Chuck Bowman,m
1141883,R.D. Braunstein,x
1295284,Martin Persson,x
1841641,Simone Farber,x
1458344,Lew Ott,x
1599744,Renelouise Smith,x
141081,Saran,x
19228,Jim Fall,m
1722317,Filippo Capuzzi Lapietra,x
1515468,Francisco Varone,x
1207968,Andrew Robinson,x
126501,Tim Cox,m
46543,Roberto Bianchi Montero,m
1749740,Wade Childress,x
5015,Brian W. Cook,m
1524,Harold Ramis,m
1141803,Chin Man-Kei,x
591940,Carole Holliday,x
550479,Dony Permedi,x
1404686,Louise Palanker,x
56470,Javier Fesser,m
1071150,Dan Sallitt,m
1318326,Jacob Cooney,x
1128097,Gennady Shpalikov,x
72769,Gianni Di Gregorio,m
1460444,Ari Novak,x
123827,Frédéric Mitterrand,m
120937,Paul Barnett,m
1296775,Chris Zonnas,x
1149070,Satish Motling,x
89838,Leo Penn,m
1388653,Anthony O'Brien,x
4610,John Landis,m
148678,Brett Donowho,x
1299119,Kellye Serret,x
1355664,David Thompson,x
1342671,Allan van O.T. Andersen,x
1504825,Terry Lennox,x
114337,George Fitzmaurice,m
1376728,Seamus Walsh,x
1080611,Susan W. Dryfoos,x
1028471,Don Henderson,x
129945,Brian Miller,m
389,Alison Eastwood,f
1760771,Huang Yuan Shen,x
1402354,Bill Purple,x
107794,Steve Shimek,x
1086533,Lubomir Levitski,x
1831969,Steve Luongo,x
224205,Giorgia Cecere,x
44848,Angelo Pizzo,x
1039381,Anat Baron,x
1528011,Nathalie Paquette,x
149495,Marti Noxon,f
1514632,William Spicer,x
1855396,José Ramón Otegui,x
1106177,Sedsel Andersen,x
124919,Pantelis Voulgaris,x
48084,Harald Sicheritz,m
550478,Wolfgang Lauenstein,x
1168466,Masayuki Asao,x
1023485,Lee Davis,m
1112586,Ersoy Güler,x
1094739,Syllas Tzoumerkas,x
24859,Jacques Faber,x
129216,Theodore Thomas,m
105976,Jake Kennedy,m
1429653,Mohamed Amin Benamraoui,x
1526954,Heather Millard,x
587411,Tom Owens,x
193339,David Decio,x
209513,Macon Blair,x
557111,Jeffery Delman,x
1547156,Jeanette McGrath,x
109342,Jacques Feyder,m
1692466,Lasse Braun,x
152214,John Dower,x
20073,Alexandra Leclère,x
1504835,Gerard Verdaguer,x
1255962,Dimitar Mitovski,x
1481000,Nadeem Soumah,x
1045547,Nuno Rocha,x
107447,Michel O. Scott,x
223887,Audrey Brohy,x
511,Larry J. Franco,m
1455432,Terence Nelson,x
1494279,Kari Montgomery,x
1413722,Eduard Grecner,x
1115714,Matteo Vicino,x
1081835,Pontus Klänge,x
80538,Jean Duval,m
1539407,Anaïs Sergeant,x
20877,Renato Castellani,m
147434,Paul Joyce,m
35475,Sean S. Cunningham,m
1090578,Fernando Morandi,x
57542,Henri Gruel,x
58375,Andy Fickman,m
133635,David L. Cunningham,m
1734699,Michael J. Moore,m
144393,Bill Kopp,x
554171,Ottavio Alessi,x
563700,Panos H. Koutras,x
1056324,Kiyosumi Kuzakawa,x
14501,Peter Ustinov,m
116406,Edward Montagne,m
1572136,William A. Kirkley,x
63966,Yôichi Matsue,x
57207,Tony Jaa,m
1016214,Kleber Mendonça Filho,x
131363,Marie Hopkins,x
1475893,Jennifer Josephson,x
87267,Francesco Rosi,m
240816,Vladimir Bychkov,x
1117050,John Waters,x
15206,Jim McBride,m
77304,Zhao Wei,f
152315,Rich Correll,m
549045,Oleg Bondarev,x
1407825,Betty Bennett,x
198201,Larry Stewart,m
98464,Adrian Edmondson,x
178926,Michael McDonald,m
132161,Richard Levine,x
1069788,Andrew Putschoegl,x
454177,Matt Riddlehoover,x
589321,Emil Larsson,m
26155,Edmund Purdom,m
1623581,Ralph Slosser,x
